1536
(0.187500, 0.562500, 0.423281) (0.125000, 0.562500, 0.423281) (0.000000, 0.000000) 
(0.187500, 0.625000, 0.361009) (0.125000, 0.562500, 0.361009) (0.000000, 0.000000) 
(0.125000, 0.625000, 0.375823) (0.125000, 0.625000, 0.375823) (0.000000, 0.000000) 
(0.187500, 0.625000, 0.361009) (0.125000, 0.625000, 0.361009) (0.000000, 0.000000) 
(0.125000, 0.687500, 0.341050) (0.125000, 0.625000, 0.341050) (0.000000, 0.000000) 
(0.125000, 0.687500, 0.341050) (0.125000, 0.625000, 0.341050) (0.000000, 0.000000) 
(0.187500, 0.625000, 0.361009) (0.125000, 0.625000, 0.361009) (0.000000, 0.000000) 
(0.187500, 0.687500, 0.324100) (0.125000, 0.625000, 0.324100) (0.000000, 0.000000) 
(0.125000, 0.687500, 0.341050) (0.125000, 0.687500, 0.341050) (0.000000, 0.000000) 
(0.187500, 0.687500, 0.324100) (0.125000, 0.687500, 0.324100) (0.000000, 0.000000) 
(0.125000, 0.750000, 0.317262) (0.125000, 0.687500, 0.317262) (0.000000, 0.000000) 
(0.125000, 0.750000, 0.317262) (0.125000, 0.687500, 0.317262) (0.000000, 0.000000) 
(0.187500, 0.687500, 0.324100) (0.125000, 0.687500, 0.324100) (0.000000, 0.000000) 
(0.187500, 0.750000, 0.299890) (0.125000, 0.687500, 0.299890) (0.000000, 0.000000) 
(0.125000, 0.750000, 0.317262) (0.125000, 0.750000, 0.317262) (0.000000, 0.000000) 
(0.187500, 0.750000, 0.299890) (0.125000, 0.750000, 0.299890) (0.000000, 0.000000) 
(0.125000, 0.812500, 0.298362) (0.125000, 0.750000, 0.298362) (0.000000, 0.000000) 
(0.125000, 0.812500, 0.298362) (0.125000, 0.750000, 0.298362) (0.000000, 0.000000) 
(0.187500, 0.750000, 0.299890) (0.125000, 0.750000, 0.299890) (0.000000, 0.000000) 
(0.187500, 0.812500, 0.281635) (0.125000, 0.750000, 0.281635) (0.000000, 0.000000) 
(0.125000, 0.812500, 0.298362) (0.125000, 0.812500, 0.298362) (0.000000, 0.000000) 
(0.187500, 0.812500, 0.281635) (0.125000, 0.812500, 0.281635) (0.000000, 0.000000) 
(0.125000, 0.875000, 0.281667) (0.125000, 0.812500, 0.281667) (0.000000, 0.000000) 
(0.125000, 0.875000, 0.281667) (0.125000, 0.812500, 0.281667) (0.000000, 0.000000) 
(0.187500, 0.812500, 0.281635) (0.125000, 0.812500, 0.281635) (0.000000, 0.000000) 
(0.187500, 0.875000, 0.266136) (0.125000, 0.812500, 0.266136) (0.000000, 0.000000) 
